mean_review_score,baby,ratio_comment_message,computers,cool_stuff,fixed_telephony,furniture_decor,musical_instruments,sports_leisure,unknown,other_categories,freight_value,frequency_medium
4,35.39,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.44,1
4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.76,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.22,1
3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,8.72,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.36,0
5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,49.9,0.0,16.05,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.17,0
5,0.0,0.0,0.0,0.0,0.0,19.9,0.0,0.0,0.0,0.0,16.05,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.77,0
1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.06,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.13,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.23,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0
1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.11,1
4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.120000000000005,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.72,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.85,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.97,0
5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.96,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.91,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.78,0
5,129.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.58,0
4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.9,14.21,1
5,0.0,100.0,0.0,109.9,0.0,0.0,0.0,0.0,0.0,0.0,15.53,1
5,130.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.28,0
4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.79,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.69,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.24,1
5,279.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.19,0
5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.9,38.0,0
1,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,14.1,0
4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.35,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.41,1
5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.95,1
5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.89,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0
5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.17,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.79,1
5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,0
5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.12,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.9,0.0,0.0,25.77,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,22.62,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.74,0
5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.72,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.80000000000001,0.0,0.0,41.42,2
5,0.0,0.0,0.0,0.0,0.0,69.9,0.0,0.0,0.0,0.0,12.43,0
5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,33.9,0.0,0.0,18.34,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,15.56,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.37,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.47,1
3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,31.04,0
5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.33,0
5,0.0,100.0,0.0,0.0,0.0,38.4,0.0,0.0,0.0,0.0,11.85,1
4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.78,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.47,0
5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.7,0
4,0.0,83.33333333333334,0.0,0.0,0.0,384.5,0.0,0.0,39.9,0.0,36.26,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,28.15,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,0.0,0.0,13.76,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,0.0,0.0,18.34,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,15.1,0
5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,28.09,0
4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.96,0
3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.03,1
1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,18.3,0
4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.34,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,19.41,0
5,0.0,50.0,0.0,42.9,0.0,0.0,0.0,0.0,0.0,185.0,39.7,0
4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.66,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.8,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.68,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.84,0
5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.28,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.82,0
5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.16,0
5,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.25,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.78,0
5,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.870000000000005,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.84,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.13,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.0,0.0,278.25,58.86,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.89,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.9,12.79,1
5,0.0,0.0,0.0,0.0,0.0,89.18,0.0,0.0,0.0,0.0,16.38,1
5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.39,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.76,0
5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.79,0
4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.08,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.9,0.0,0.0,37.37,1
4,0.0,100.0,0.0,0.0,0.0,10.9,0.0,0.0,0.0,0.0,12.79,0
5,0.0,0.0,0.0,0.0,0.0,83.9,0.0,0.0,0.0,0.0,17.84,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.96,0
5,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.57,0
5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.14,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,0.0,0.0,12.69,0
5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.39,0
5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,15.35,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,1
4,0.0,0.0,0.0,0.0,0.0,69.9,0.0,0.0,0.0,0.0,26.11,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0
