customer_unique_id,recency,auto,bed_bath_table,computers_accessories,cool_stuff,fixed_telephony,furniture_decor,housewares,musical_instruments,small_appliances,unknown,watches_gifts,freight_value,frequency_heavy,sellers_count,mean_review_score
7c396fd4830fd04220f754e42b4e5bff,76,0.0,0.0,0.0,0.0,0.0,0.0,29.99,0.0,0.0,0.0,0.0,17.44,0,2,4
7c142cf63193a1473d2e66489a9ae977,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,0,1,4
80bb27c7c16e8f973207a5086ab329e2,161,147.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.36,1,1,5
36edbb3fb164b1f16485364b6fb04c73,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.9,0.0,16.05,0,1,3
932afa1e708222e5821dac9cd5db4cae,215,59.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.17,0,1,5
39382392765b6dc74812866ee5ee92a7,328,0.0,0.0,0.0,0.0,0.0,19.9,0.0,0.0,0.0,0.0,0.0,16.05,0,1,4
299905e3934e9e181bfb2e164dd4b4f8,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.77,1,1,5
f2a85dec752b8517b5e58a06ff3cd937,215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.06,1,1,2
782987b81c92239d922aa49d6bd4200b,157,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.13,0,1,5
d0ff1a7468fcc46b8fc658ab35d2a12c,26,0.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.85,0,1,1
634f09f6075fe9032e6c19609ffe995a,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.97,0,1,1
d699688533772c15a061e8ce81cb56df,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.96,0,1,5
1974875b4a1d2e2ee6d586e3ba4d7602,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.19,1,1,5
37363700139c1aef873bbcd916e57dfd,5,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,14.1,1,1,4
f1f4f45c8602d0db1329eed1c8e935d4,139,0.0,0.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0,1,1
c796780c7daeab9e94cc052b1f103b21,212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,1,1,4
3e4fd73f1e86b135b9b121d6abbe9597,23,0.0,0.0,0.0,0.0,0.0,0.0,339.0,0.0,0.0,0.0,0.0,17.12,1,1,4
4ca5f90433afb5493247f0bafb583483,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.77,0,1,5
4acce2834231e13b1514915adda5ec2b,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.72,1,1,5
c2551ea089b7ebbc67a2ea8757152514,204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.42,0,2,5
12e7a2c201751ddc979e7a45cef500f3,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.56,0,1,5
38cad70d154a4dcc42b598d5c01f7ef1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,17.33,0,1,3
9d9ab3b77f0416765b3fbedf94a942a4,108,0.0,0.0,0.0,0.0,0.0,38.4,0.0,0.0,0.0,0.0,0.0,11.85,0,1,5
51838d41add414a0b1b989b7d251d9ee,196,0.0,0.0,0.0,0.0,0.0,384.5,0.0,0.0,0.0,39.9,0.0,36.26,1,3,5
c63e44efa43f3947087aee96b388d949,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.15,1,1,4
6da92ae920ab16fc4eceb8fcd7bd43ce,17,0.0,79.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0,1,5
bf0303939d54b8df5da4762bbaab1955,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.34,1,1,5
31b8fa2573bde01af4737e8ed29c348b,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.34,0,1,4
32de2a7a93dbfc527b3f584744b9c6ce,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.66,0,1,5
f9effeed3df9ae063a58c0759b96f8b2,241,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,77.8,0,1,5
a7e7b19ff34ab885f7b7331de2417cf3,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.68,0,1,5
5229b8e4d7d2b9b676c2083c17b1ecd0,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,15.28,0,1,5
bb4d84a2b45b22ed710ac8c0dec63d1a,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.16,0,2,1
c756e1910755edd88c00ac3f46baba4b,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.78,0,1,4
04e495a3f45df8b41be2e934bbc16961,222,0.0,110.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.27,1,1,4
c7a9a76a4b24a7e7b2caff982409b7ee,241,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.84,0,1,5
e3bcfea9bab07b492391664fc1ffc28a,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.13,1,1,5
4754e3b66497719a91b36268ed9c5718,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.86,2,1,5
410979f3cfd34e467d4fad78bd0f0219,113,0.0,14.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0,1,5
7973a6ba9c81ecaeb3d628c33c7c7c48,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.76,0,1,5
781ae350edb16842380e81d7c7feb431,25,0.0,0.0,0.0,0.0,0.0,83.9,0.0,0.0,0.0,0.0,0.0,17.84,1,1,5
5ddb4fdd9cef2450d17ae20639815885,262,0.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.96,0,1,5
4f262a3ca91e56d568fd13240c3c3652,214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.69,1,1,5
169381f51e4c3e926ef199364aeced22,323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1,1,5
a8ee33e35637322a81a8c26592f6ce36,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.99,17.41,1,1,5
3d8614b1f25530eca12661dc8b10a2fb,81,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.0,0.0,0.0,0.0,8.72,0,1,5
efc37ae565ee0943cca2b89fc65c4d6f,19,0.0,0.0,0.0,0.0,0.0,25.99,0.0,0.0,0.0,0.0,0.0,14.1,0,1,5
