recency,baby,computers,fixed_telephony,furniture_decor,musical_instruments,sports_leisure,telephony,toys,other_categories,freight_value,frequency_medium,mean_review_score,ratio_comment_message
197,35.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.44,1,4,100.0
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,27.2,1,4,100.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,8.72,0,5,0.0
282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.36,0,3,0.0
371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.9,16.05,1,5,100.0
336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.17,0,4,0.0
449,0.0,0.0,0.0,19.9,0.0,0.0,0.0,0.0,0.0,16.05,0,5,0.0
262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.77,0,2,0.0
336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.06,0,5,100.0
278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.13,0,1,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.25,0.0,16.11,1,1,100.0
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.9,85.72,0,5,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0,27.99,0.0,0.0,15.1,0,5,0.0
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.85,0,4,0.0
173,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,16.97,0,1,0.0
211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.96,1,4,100.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.91,0,4,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,7.78,0,5,0.0
99,129.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.58,0,5,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.53,1,5,100.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.9,12.79,0,5,100.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.24,1,3,0.0
250,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.19,0,5,100.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.9,38.0,0,5,100.0
126,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,14.1,0,4,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,0.0,15.35,1,5,100.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.95,1,5,100.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,26.89,1,4,100.0
260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0,5,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.79,1,5,0.0
333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,0,5,100.0
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.12,0,5,100.0
256,0.0,0.0,0.0,0.0,0.0,69.9,0.0,0.0,0.0,25.77,0,1,0.0
334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.72,0,4,100.0
325,0.0,0.0,0.0,0.0,0.0,126.80000000000001,0.0,0.0,0.0,41.42,2,4,0.0
251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,15.56,1,5,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.47,13.37,0,5,0.0
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.33,0,5,100.0
229,0.0,0.0,0.0,38.4,0.0,0.0,0.0,0.0,0.0,11.85,1,5,100.0
39,0.0,0.0,0.0,0.0,0.0,0.0,45.98,0.0,0.0,45.7,0,5,100.0
317,0.0,0.0,0.0,384.5,0.0,0.0,0.0,0.0,39.9,36.26,1,5,83.33333333333334
308,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,28.15,0,5,0.0
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,1,5,0.0
153,0.0,0.0,0.0,0.0,0.0,299.0,0.0,0.0,0.0,18.34,0,5,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,15.1,0,5,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.8,164.96,0,5,100.0
66,0.0,0.0,0.0,0.0,0.0,0.0,24.89,0.0,0.0,15.1,0,5,100.0
216,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.34,1,5,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,19.41,0,5,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,39.7,0,5,50.0
421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.66,1,3,100.0
362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.8,1,5,0.0
214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.98,31.68,0,3,0.0
251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.28,1,5,100.0
261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.16,0,5,100.0
